# ID	x	y	Flux	Bkg	m
6.0400e+02	2.3520e+03	2.2530e+03	4.3090e+03	3.4210e+03	1.6214e+01
6.0500e+02	1.9330e+03	2.4970e+03	4.8480e+03	3.4190e+03	1.6086e+01
6.0600e+02	4.6000e+02	2.5690e+03	6.6890e+03	3.4260e+03	1.5737e+01
6.0700e+02	2.0570e+03	2.9940e+03	4.6700e+03	3.4260e+03	1.6127e+01
6.0800e+02	2.1630e+03	2.7250e+03	6.4550e+03	3.4170e+03	1.5775e+01
6.0900e+02	1.3500e+02	2.8210e+03	5.6590e+03	3.4180e+03	1.5918e+01
6.1000e+02	2.4060e+03	2.1550e+03	6.7880e+03	3.4230e+03	1.5721e+01
6.1100e+02	7.0300e+02	2.7070e+03	1.6837e+04	3.4270e+03	1.4734e+01
6.1200e+02	1.2840e+03	2.7730e+03	6.2080e+03	3.4370e+03	1.5818e+01
6.1300e+02	1.7090e+03	8.7000e+02	4.8270e+03	3.4190e+03	1.6091e+01
6.1400e+02	1.0430e+03	1.3580e+03	7.6630e+03	3.4220e+03	1.5589e+01
6.1500e+02	6.4800e+02	2.1280e+03	1.0025e+04	3.4200e+03	1.5297e+01
6.1600e+02	2.1790e+03	6.2400e+02	4.7010e+03	3.4140e+03	1.6120e+01
6.1700e+02	2.1990e+03	3.3900e+02	6.8980e+03	3.4080e+03	1.5703e+01
6.1800e+02	1.0590e+03	1.7640e+03	8.8360e+03	3.4210e+03	1.5434e+01
6.1900e+02	1.2160e+03	6.1600e+02	6.9680e+03	3.4290e+03	1.5692e+01
6.2000e+02	1.5490e+03	1.2810e+03	4.3490e+03	3.4160e+03	1.6204e+01
6.2100e+02	6.1300e+02	6.8200e+02	1.9720e+04	3.4280e+03	1.4563e+01
6.2200e+02	3.4800e+02	8.0000e+02	9.7140e+03	3.4250e+03	1.5332e+01
6.2300e+02	1.2170e+03	1.6190e+03	6.1140e+03	3.4190e+03	1.5834e+01
6.2400e+02	9.4000e+02	2.3800e+03	1.2192e+04	3.4230e+03	1.5085e+01
6.2500e+02	2.1950e+03	1.2380e+03	3.4368e+04	3.4180e+03	1.3960e+01
6.2600e+02	2.9400e+02	2.3070e+03	9.1090e+03	3.4200e+03	1.5401e+01
6.2700e+02	1.0800e+03	2.9090e+03	6.9610e+03	3.4360e+03	1.5693e+01
6.2800e+02	1.9360e+03	2.5420e+03	4.0280e+03	3.4210e+03	1.6287e+01
6.2900e+02	3.8300e+02	4.0820e+03	1.1153e+04	3.4250e+03	1.5182e+01
6.3000e+02	1.5120e+03	1.6530e+03	6.4720e+03	3.4190e+03	1.5772e+01
6.3100e+02	2.2010e+03	2.6420e+03	6.4585e+03	3.4145e+03	1.5775e+01
6.3200e+02	6.0400e+02	2.6630e+03	8.7260e+03	3.4220e+03	1.5448e+01
6.3300e+02	7.2800e+02	2.7540e+03	4.7420e+03	3.4250e+03	1.6110e+01
6.3400e+02	2.1500e+03	1.4460e+03	5.4260e+03	3.4270e+03	1.5964e+01
6.3500e+02	2.1820e+03	1.9240e+03	4.7740e+03	3.4290e+03	1.6103e+01
6.3600e+02	1.9350e+03	2.3840e+03	3.9290e+03	3.4190e+03	1.6314e+01
6.3700e+02	1.4600e+03	9.7500e+02	1.6319e+04	3.4230e+03	1.4768e+01
6.3800e+02	1.7530e+03	2.3320e+03	1.0058e+04	3.4210e+03	1.5294e+01
6.3900e+02	1.0380e+03	2.1860e+03	8.8010e+03	3.4250e+03	1.5439e+01
